Model,MSE,MAE,R²
linear_regression,0.0020152173104925402,0.03579023206038992,0.19866047223953195
gradient_boosting,0.001994654084186402,0.03560681795066138,0.20683832820942016
dnn,0.0019951816538063822,0.035608939592874866,0.20661167040765963
